leaf_id,node_id,depth,x1_k,x1_d,x2_k,x2_d,x3_k,x3_d,y1_k,y1_d,y2_k,y2_d,y3_k,y3_d,w0,w1,w2,w3,w4
97,203,12,1,2,0,2,1,2,0,2,1,2,0,2,4503599627370496,-2897803281501109,2776615659309696,2330448224175138,371739378906063
98,207,14,0,2,2,3,2,3,0,2,1,2,0,2,4503599627370496,735783853933586,3812546692979406,-1777255205399049,2106852333236730
99,213,19,0,3,4,4,3,3,0,3,2,3,0,3,4503599627370496,2257678608917864,-134662696024024,-338738614193944,811188894315437
100,214,19,0,3,5,4,3,3,0,3,2,3,0,3,2251799813685248,945542000602886,243206314536088,435706111459820,-546464046148475
101,216,19,0,3,4,4,3,3,0,3,2,3,1,3,4503599627370496,1121612563549011,559861602372157,-1142883519224304,2950483491420928
102,219,21,0,3,5,4,6,4,0,4,2,3,1,3,4503599627370496,2704549849076708,1488257651902906,-2257676909618794,-13967038236857
103,220,21,0,3,5,4,7,4,0,4,2,3,1,3,4503599627370496,2029969140710688,-1210652962634106,58834169477265,-1194462062345020
104,221,20,0,3,5,4,3,3,1,4,2,3,1,3,1,0,0,0,0
105,222,17,0,3,2,3,3,3,0,3,3,3,0,2,4503599627370496,1611808173954931,1655516324184186,-157264470434865,1371689231159802
106,223,16,0,3,2,3,3,3,1,3,1,2,0,2,4463816582707942,-2619837931920114,2675792537273915,4503599627370496,-1334683037748645
107,224,15,1,3,2,3,3,3,0,2,1,2,0,2,4503599627370496,-2321708774894038,992461513986014,1933694180100752,-485677549770863
108,226,14,0,2,3,3,2,3,0,2,1,2,0,2,-706732478277045,-1901046755027061,4503599627370496,-1166307489561267,-1257601440701184
109,231,18,0,3,3,3,3,3,0,3,2,3,0,3,2728185191885984,-313309566932711,-812043635472190,1054880515570411,-4503599627370496
110,232,18,0,3,3,3,3,3,0,3,2,3,1,3,0,0,0,0,-1
111,233,17,0,3,3,3,3,3,1,3,2,3,0,2,-142707160930693,-2550750088455985,708637095629589,3085578112346611,-4503599627370496
112,235,17,0,3,3,3,3,3,0,2,3,3,0,3,2225862490911836,558292499292697,870065087222221,2830507201916610,-4503599627370496
113,236,17,0,3,3,3,3,3,0,2,3,3,1,3,743885630597349,836649944281428,4108378130417,683071827273193,-4503599627370496
114,238,16,1,3,3,3,3,3,0,2,2,3,0,2,1333103907942683,-4503599627370496,-1210474468665264,2233604869853136,-4344214197053282
115,239,16,1,3,3,3,3,3,0,2,3,3,0,2,1781482511935357,-2007669963084875,-52842118516960,2702010348154083,-4503599627370496
116,241,13,1,2,1,2,2,3,0,2,1,2,0,2,1721295152685963,-3915710330546104,4503599627370496,1674469113255256,-484191866375470
117,243,14,1,2,2,3,3,3,0,2,1,2,0,2,2251799813685248,-2116467088962558,1311643888493087,2021660658063485,-1100087568686124
118,245,15,1,2,3,3,3,3,0,2,2,3,0,2,412079499889630,-4503599627370496,-112372673349057,-110695639781389,-2555839323347377
119,246,15,1,2,3,3,3,3,0,2,3,3,0,2,0,0,0,0,-1
120,248,10,0,1,0,1,0,2,1,2,1,2,0,2,4503599627370496,-2954920214296466,2727317684562138,4166166565365046,3741532207784153
121,250,11,0,1,0,2,1,2,1,2,1,2,0,2,3494129694732320,-2095479846403904,1842918817020381,4503599627370496,-1274503320235288
122,253,13,0,2,1,2,2,3,1,2,1,2,0,2,0,0,1,0,0
123,256,15,0,3,1,2,3,3,1,2,1,2,0,3,-961408482764198,-45625960964219,757964865136147,2251799813685248,-361063818607904
124,257,15,1,3,1,2,3,3,1,2,1,2,0,3,-3403266623123164,-3021803235273192,-464593336896489,4503599627370496,-3294840931796744
125,260,16,0,2,1,2,3,3,2,3,2,3,1,3,-1346157622587499,-3765563362764520,738093788704997,2647200217690906,-4503599627370496
126,261,16,0,2,1,2,3,3,3,3,2,3,1,3,0,0,0,1,0
127,262,15,0,2,1,2,3,3,1,2,3,3,1,3,-796346252596026,-1068085223711155,3960337786818262,4503599627370496,-3264877757488228
128,264,13,1,2,1,2,2,3,1,2,1,2,0,2,-1906778892951345,-2822138888738812,4503599627370496,2438638712437350,3773276848671202
129,266,14,1,2,2,3,3,3,1,2,1,2,0,2,276126650018885,-2251799813685248,1267397936734079,1522488279770328,-1595226454530863
130,269,16,1,2,3,3,3,3,1,2,2,3,0,3,-2609080453798142,-4503599627370496,-896426855397392,395444821134627,-1789278625903723
131,270,16,1,2,3,3,3,3,1,2,2,3,1,3,-1012123508822559,-2251799813685248,1132148522321407,-567301681706335,247337508241998
132,271,15,1,2,3,3,3,3,1,2,3,3,0,2,-1455660123702635,-4503599627370496,1123649803530315,2696494940090140,-1705599610219634
133,279,15,0,2,0,2,0,3,0,3,2,3,1,2,-1143091418156565,540443695062611,765453672959833,-4503599627370496,-686741626530830
134,280,15,0,2,0,2,1,3,0,3,2,3,1,2,499346415821664,-2508397909716859,137480684474885,-4503599627370496,1730866802217028
135,281,14,0,2,0,2,0,2,0,3,3,3,1,2,412173776282949,481908293185995,2251799813685248,-1657393934103173,1606115858854077
136,284,15,0,2,0,2,0,2,1,3,2,3,2,3,1638442650105678,-4503599627370496,2998092658964244,-2857541848659559,912433245712263
137,287,17,0,2,0,3,0,3,1,3,2,3,3,3,2898508050584692,-2458021634244597,1372059831637747,-4503599627370496,-2061029202297776
138,288,17,0,2,1,3,0,3,1,3,2,3,3,3,469395807532627,-3701997326251240,4503599627370496,-3026625796532170,-1416738300431299
139,289,16,0,2,0,2,1,3,1,3,2,3,3,3,0,-1,0,0,0
140,291,15,0,2,0,2,0,2,1,3,3,3,2,3,1548970481721425,-3209209077609385,4503599627370496,-1737770311260902,3073900065871600
141,294,17,0,2,0,3,0,3,1,3,3,3,3,3,3122942694289370,-2525420988075567,4503599627370496,-3728704770209310,552296249666591
142,295,17,0,2,1,3,0,3,1,3,3,3,3,3,706112369513452,-1980417762832257,4503599627370496,-3057300361633122,345645368619336
143,296,16,0,2,0,2,1,3,1,3,3,3,3,3,208806536722472,-4503599627370496,4031188943565780,-3567743619465393,3175296560159488
144,297,12,1,2,0,2,0,2,0,2,1,2,1,2,2743771890074708,-854719899908798,4503599627370496,-2219571170242676,-591309691142303
145,300,13,0,2,1,2,0,2,0,3,1,2,1,2,-726619065466589,-1396302019280008,1623491158252534,-2251799813685248,-326065740771987
146,301,13,0,2,1,2,0,2,1,3,1,2,1,2,-354840234495364,-4503599627370496,4090205419121008,-1542612071196840,-25915301658473
147,302,12,1,2,1,2,0,2,0,2,1,2,1,2,0,0,1,0,0
148,306,13,0,2,0,2,1,2,0,3,1,2,1,2,4503599627370496,-441140016217892,1030253155372200,-977937679323263,3126605041142323
149,307,13,0,2,0,2,1,2,1,3,1,2,1,2,4503599627370496,-3293519957535446,1640619400423892,1187954184374089,2164950606707773
150,312,16,0,3,2,3,1,2,0,3,2,3,1,2,2137923844244905,-1443276281290084,34705659315073,-2251799813685248,1238540897449748
151,314,17,0,3,2,3,2,3,0,3,3,3,1,2,1241190936670026,-858250865422876,2251799813685248,-1297632524129251,1766157040419979
152,318,20,0,3,4,4,3,3,0,4,3,3,2,3,4503599627370496,874471830215886,1223343558206136,-62497331342523,1399993533358386
153,320,21,0,3,5,4,3,3,0,4,6,4,2,3,2251799813685248,601925794370479,739256432790311,-921708026044271,754860447673344
154,321,21,0,3,5,4,3,3,0,4,7,4,2,3,4503599627370496,885642159389134,1631667017285557,-687040524686972,769346344409574
155,322,19,0,3,2,3,3,3,1,4,3,3,2,3,4503599627370496,-1173196140732634,1788906485070736,687489389288112,274772711583895
156,324,19,0,3,2,3,3,3,0,4,3,3,3,3,4503599627370496,441760713384045,719062595730519,-1006500912149113,957681938924888
157,325,19,0,3,2,3,3,3,1,4,3,3,3,3,4503599627370496,-2315459506825770,1860081074582613,-805873259807197,2310214759603514
158,327,16,0,3,3,3,2,3,0,3,1,2,1,2,306671696123129,-2562799308246049,2913455185174070,-4503599627370496,1096333904283878
159,329,17,0,3,3,3,3,3,0,3,2,3,1,2,2519226133752271,-1966904095945849,-2231124975468305,-4503599627370496,-4223658342391301
160,332,19,0,3,3,3,3,3,0,4,3,3,2,3,3254665058588636,2628419740439328,35412908247623,-3612446140221870,-4503599627370496
161,333,19,0,3,3,3,3,3,1,4,3,3,2,3,0,0,0,0,-1
162,336,20,0,3,3,3,3,3,0,4,6,4,3,3,0,0,0,-1,0
163,339,22,0,4,3,3,6,4,0,4,7,4,3,3,0,0,0,-1,0
164,341,23,0,4,6,4,7,4,0,4,7,4,3,3,1331633228856866,656149257768957,-269318905437314,-2251799813685248,-1218784684377966
165,342,23,0,4,7,4,7,4,0,4,7,4,3,3,1970329662202026,-857529147235048,-427667656869187,-4503599627370496,-1920621534137644
166,343,21,1,4,3,3,3,3,0,4,7,4,3,3,1742823088797668,-1157652950145781,-828726624160857,-2232126347679870,-2251799813685248
167,344,19,0,3,3,3,3,3,1,4,3,3,3,3,4503599627370496,-4151438539627470,994039821237321,-3078470697250274,-2299147946339778
168,345,14,1,3,1,2,1,2,0,3,1,2,1,2,4503599627370496,-3116851206917620,2236052166556748,-94756775600879,960514716337755
169,346,13,0,2,1,2,1,2,1,3,1,2,1,2,3412814095840368,-4503599627370496,1843871889494225,1251224208609154,-382417540155656
170,347,11,1,2,0,1,1,2,0,2,1,2,1,2,2840799705743572,-4503599627370496,3444856072979921,-601634041822714,1402140679283232
171,350,11,0,1,0,2,0,2,1,2,1,2,1,2,4503599627370496,-2643911722968938,3605899161232911,2075843022577144,-3078792490430
172,351,11,0,1,1,2,0,2,1,2,1,2,1,2,1271631347171126,-850570682106155,2841895951745351,4503599627370496,795994616289243
173,353,11,0,1,0,2,1,2,1,2,1,2,1,2,2838438019953894,-4503599627370496,4195949121083230,-396762745225551,1945104976898817
174,355,12,0,2,1,2,1,2,1,2,1,2,1,2,-363361775513648,-2251799813685248,565023416790254,1365824198020765,641585394220437
175,357,13,1,2,1,2,2,3,1,2,1,2,1,2,1285676759505957,-1499381088954237,3313497457415307,3382244637838664,4503599627370496
176,359,14,1,2,1,2,3,3,2,3,1,2,1,2,-605493981537390,-4503599627370496,3910311286331344,-1524906087422875,-85409261078161
177,361,15,1,2,2,3,3,3,3,3,1,2,1,2,825664503420657,-2850940296364574,4503599627370496,1468947294029551,-932963155057546
178,363,16,2,3,3,3,3,3,3,3,1,2,1,2,459088063398297,-2251799813685248,281842725129725,1479191850278321,1880709116514662
179,365,17,3,3,3,3,3,3,3,3,1,2,2,3,837092055530184,-3847626742277974,4503599627370496,854243433797670,1510865855355905
180,366,17,3,3,3,3,3,3,3,3,1,2,3,3,-2251799813685248,-1317202148284121,1943237068214743,666196392781995,912509324276446
181,371,10,0,1,0,2,2,2,0,2,0,1,0,2,4503599627370496,-673604995710076,-1470778370288347,2161246240202910,1324088658851552
182,372,10,0,1,0,2,3,2,0,2,0,1,0,2,1415042071574877,1033193818011459,-3401126579806030,4503599627370496,2569373816969586
183,376,12,0,2,0,2,2,2,1,2,0,2,0,2,3137048567598656,-995395066239212,990484700563361,4503599627370496,839402579068120
184,377,12,0,2,0,2,2,2,1,2,1,2,0,2,4134945988576620,-289787715279155,-85995272326692,4503599627370496,-2507148700492152
185,378,11,1,2,0,2,2,2,1,2,0,1,0,2,3890181243101744,-2057544189507598,-1481894663125712,4503599627370496,1278013497215699
186,379,10,0,1,0,2,3,2,1,2,0,1,0,2,1794082316572718,2540881141693616,-4503599627370496,1499705227005357,-2760212890114034
187,384,12,0,2,1,2,2,2,0,2,0,2,0,2,4503599627370496,-1204831379587923,-4429599222973338,1132343873859120,-2374460079508986
188,388,15,0,3,1,2,4,3,1,2,0,3,0,2,3579896715728042,2159536039610323,538940692233051,4503599627370496,1925579144271666
